"SECONDS";"PID";"VALUE";"UNITS";
"32021.46118";"Average speed (GPS)";"0.485329593830002";"km/h";
"32021.46118";"Speed (GPS)";"2.19600005149841";"km/h";
"32021.46718";"Altitude (GPS)";"3.40000009536743";"m";
"32021.46718";"Average speed (GPS)";"0.485374494036602";"km/h";
"32021.46718";"Speed (GPS)";"0.877660042047501";"km/h";
"32021.96718";"Altitude (GPS)";"2.70000004768372";"m";
"32021.96718";"Average speed (GPS)";"0.480359101216616";"km/h";
"32021.96718";"Speed (GPS)";"0";"km/h";
"32021.97818";"Altitude (GPS)";"2.70000004768372";"m";
"32021.97818";"Average speed (GPS)";"0.480453306353832";"km/h";
"32021.97818";"Speed (GPS)";"0.901080286502838";"km/h";
"32022.06418";"[BMS] Battery total current";"0";"A";
"32022.21118";"[BMS] Battery total voltage";"664";"V";
"32022.21118";"HV EV Battery Power";"0";"kW";
"32022.34618";"[BMS] Lowest temperature cell value";"30";"℃";
"32022.40718";"Altitude (GPS)";"2.70000004768372";"m";
"32022.40718";"Average speed (GPS)";"0.484078438442156";"km/h";
"32022.40718";"Speed (GPS)";"0.893036073446274";"km/h";
"32022.45218";"Altitude (GPS)";"15.564697265625";"m";
"32022.45218";"Average speed (GPS)";"0.484920304378816";"km/h";
"32022.45218";"Speed (GPS)";"1.40399994850159";"km/h";
"32022.45718";"Altitude (GPS)";"2.70000004768372";"m";
"32022.45718";"Average speed (GPS)";"0.484959678286165";"km/h";
"32022.45718";"Speed (GPS)";"0.894383615255356";"km/h";
"32022.48218";"[BMS] Highest temperature cell value";"31";"℃";
"32023.37218";"[LVBMS] 12V Battery voltage";"13.1";"V";
"32023.60318";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32023.70718";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32023.95518";"[BMS] Accumulated charge energy";"4988";"kWh";
"32024.08018";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32025.03518";"[BMS] Lowest voltage cell #";"110";"";
"32025.17018";"[BMS] Lowest voltage cell value";"3.318";"V";
"32025.31618";"[BMS] Highest voltage cell #";"3";"";
"32025.45218";"[BMS] Highest voltage cell value";"3.322";"V";
"32025.61818";"[BMS] Charge times";"185";"";
"32025.80518";"[BMS] Times off full power [second-rate]";"38";"";
"32025.94118";"[BMS] State of charge actual";"77.3";"%";
"32026.44618";"Altitude (GPS)";"2.70000004768372";"m";
"32026.44618";"Altitude (GPS)";"2.70000004768372";"m";
"32026.44618";"Average speed (GPS)";"0.624507307431342";"km/h";
"32026.44618";"Average speed (GPS)";"0.624526035088028";"km/h";
"32026.44618";"Speed (GPS)";"2.33547556400299";"km/h";
"32026.44618";"Speed (GPS)";"2.33547556400299";"km/h";
"32026.90118";"[BMS] Battery total current";"0";"A";
"32027.05318";"[BMS] Battery total voltage";"664";"V";
"32027.05318";"HV EV Battery Power";"0";"kW";
"32027.19618";"[BMS] Lowest temperature cell value";"30";"℃";
"32027.34318";"[BMS] Highest temperature cell value";"31";"℃";
"32028.26718";"[LVBMS] 12V Battery voltage";"13";"V";
"32028.47018";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32028.59618";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
"32028.76418";"[BMS] Accumulated charge energy";"4988";"kWh";
"32028.87918";"[BMS] Accumulated discharge energy";"4963";"kWh";
"32029.80218";"[BMS] Lowest voltage cell #";"200";"";
"32029.95118";"[BMS] Lowest voltage cell value";"3.318";"V";
"32030.08018";"[BMS] Highest voltage cell #";"170";"";
"32030.22018";"[BMS] Highest voltage cell value";"3.323";"V";
"32030.37818";"[BMS] Charge times";"185";"";
"32030.52618";"[BMS] Times off full power [second-rate]";"38";"";
"32030.67418";"[BMS] State of charge actual";"77.3";"%";
"32031.63118";"[BMS] Battery total current";"0";"A";
"32032.01418";"[BMS] Battery total voltage";"664";"V";
"32032.01418";"HV EV Battery Power";"0";"kW";
"32032.13318";"[BMS] Lowest temperature cell value";"30";"℃";
"32032.25318";"[BMS] Highest temperature cell value";"31";"℃";
"32033.15518";"[LVBMS] 12V Battery voltage";"13";"V";
"32033.34518";"[BMS] Accumulated charge power [Ah]";"7795";"Ah";
"32033.51118";"[BMS] Accumulated discharge power [Ah]";"7756";"Ah";
